airport,name,latitude,longitude
ABE,Lehigh Valley International Airport,40.6521,-75.4408
ABQ,Albuquerque International Sunport,35.0402,-106.609
ACA,General Juan N. Alvarez International Airport,16.7571,-99.754
ACC,Kotoka International Airport,5.60519,-0.166786
ACV,Arcata-Eureka Airport,40.9781,-124.109
AGU,Lic. Jesus Teran Peredo International Airport,21.7056,-102.318
AKL,Auckland Airport,-37.0081,174.792
ALB,Albany International Airport,42.7483,-73.8017
AMA,Rick Husband Amarillo International Airport,35.2194,-101.706
AMM,Queen Alia International Airport,31.7226,35.9932
AMS,Amsterdam Airport Schiphol,52.3086,4.76389
ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996
ANU,V. C. Bird International Airport,17.1367,-61.7927
ASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869
ATH,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445
ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
ATW,Appleton International Airport,44.2581,-88.5191
AUA,Queen Beatrix International Airport,12.5014,-70.0152
AUS,Austin-Bergstrom International Airport,30.1945,-97.6699
AVP,Wilkes-Barre/Scranton International Airport,41.3385,-75.7234
BCN,Barcelona El Prat Airport,41.2971,2.07846
BDL,Bradley International Airport,41.9392,-72.6833
BER,Berlin Brandenburg Airport,52.3514,13.4939
BFF,Western Nebraska Regional Airport (William B. Heilig Field),41.874,-103.596
BFL,Meadows Field Airport,35.4336,-119.057
BGI,Grantley Adams International Airport,13.0746,-59.4925
BGR,Bangor International Airport,44.8074,-68.8281
BHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
BIL,Billings Logan International Airport,45.8077,-108.543
BIS,Bismarck Municipal Airport,46.7727,-100.746
BJX,Del Bajio International Airport (Guanajuato Int'l Airport),20.9935,-101.481
BNA,Nashville International Airport,36.1245,-86.6782
BNE,Brisbane Airport,-27.3842,153.117
BOG,El Dorado International Airport,4.70159,-74.1469
BOI,Boise Air Terminal (Gowen Field),43.5644,-116.223
BON,Flamingo International Airport,12.131,-68.2685
BOS,Logan International Airport,42.3643,-71.0052
BQN,Rafael Hernandez Airport,18.4949,-67.1294
BRU,Brussels Airport (Zaventem Airport),50.9014,4.48444
BTR,Baton Rouge Metropolitan Airport (Ryan Field),30.5332,-91.1496
BTV,Burlington International Airport,44.4719,-73.1533
BUF,Buffalo Niagara International Airport,42.9405,-78.7322
BUR,Bob Hope Airport,34.2007,-118.359
BWI,Baltimore/Washington International Airport,39.1753,-76.6683
BZE,Philip S. W. Goldson International Airport,17.5391,-88.3082
BZN,Bozeman Yellowstone International Airport (Gallatin Field),45.7775,-111.153
CAE,Columbia Metropolitan Airport,33.9388,-81.1195
CAK,Akron-Canton Airport,40.9161,-81.4422
CDG,Paris Charles de Gaulle Airport,49.0097,2.54778
CHA,Chattanooga Metropolitan Airport (Lovell Field),35.0353,-85.2038
CHO,Charlottesville-Albemarle Airport,38.1386,-78.4529
CHS,Charleston International Airport / Charleston Air Force Base,32.8986,-80.0405
CID,The Eastern Iowa Airport,41.8847,-91.7108
CLE,Cleveland Hopkins International Airport,41.4117,-81.8498
CLT,Charlotte Douglas International Airport,35.214,-80.9431
CMH,John Glenn Columbus International Airport,39.998,-82.8919
CMX,Houghton County Memorial Airport,47.1684,-88.4891
CNY,Canyonlands Field,38.755,-109.755
COS,Colorado Springs Airport,38.8058,-104.701
CPR,Casper-Natrona County International Airport,42.908,-106.464
CPT,Cape Town International Airport,-33.9648,18.6017
CRP,Corpus Christi International Airport,27.7704,-97.5012
CRW,Yeager Airport,38.3731,-81.5932
CUN,Cancun International Airport,21.0365,-86.8771
CVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678
CYS,Cheyenne Regional Airport (Jerry Olson Field),41.1557,-104.812
CZM,Cozumel International Airport,20.5224,-86.9256
DAY,Dayton International Airport,39.9024,-84.2194
DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
DDC,Dodge City Regional Airport,37.7634,-99.9656
DEC,Decatur Airport,39.8346,-88.8657
DEL,Indira Gandhi International Airport,28.5665,77.1031
DEN,Denver International Airport,39.8617,-104.673
DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7974,-102.802
DLH,Duluth International Airport,46.8421,-92.1936
DRO,Durango-La Plata County Airport,37.1515,-107.754
DSM,Des Moines International Airport,41.534,-93.6631
DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
DUB,Dublin Airport,53.4213,-6.27007
DVL,Devils Lake Regional Airport (Devils Lake Municipal Airport),48.1142,-98.9088
DXB,Dubai International Airport,25.2528,55.3644
EDI,Edinburgh Airport,55.95,-3.3725
ELP,El Paso International Airport,31.8072,-106.378
EUG,Eugene Airport (Mahlon Sweet Airport),44.1246,-123.212
EWR,Newark Liberty International Airport,40.6925,-74.1686
EZE,Ministro Pistarini International Airport,-34.8222,-58.5358
FAR,Hector International Airport,46.9207,-96.8158
FAT,Fresno Yosemite International Airport,36.7762,-119.718
FCA,Glacier Park International Airport,48.3105,-114.256
FCO,Rome–Fiumicino International Airport,41.8003,12.2389
FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
FNT,Bishop International Airport,42.9654,-83.7436
FOD,Fort Dodge Regional Airport,42.5515,-94.1926
FRA,Frankfurt Airport,50.0333,8.57056
FSD,Sioux Falls Regional Airport (Joe Foss Field),43.582,-96.7419
FUK,Fukuoka Airport (Itazuke Air Base),33.5859,130.451
FWA,Fort Wayne International Airport,40.9785,-85.1951
GCC,Gillette-Campbell County Airport,44.3489,-105.539
GCM,Owen Roberts International Airport,19.2928,-81.3577
GDL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l),20.5218,-103.311
GEG,Spokane International Airport,47.6199,-117.534
GIG,Rio de Janeiro - Tom Jobim International Airport,-22.8053,-43.2566
GJT,Grand Junction Regional Airport (Walker Field),39.1224,-108.527
GRB,Austin Straubel International Airport,44.4851,-88.1296
GRR,Gerald R. Ford International Airport,42.8808,-85.5228
GRU,Sao Paulo International Airport,-23.4262,-46.48
GSO,Piedmont Triad International Airport,36.0978,-79.9373
GSP,Greenville-Spartanburg International Airport,34.8957,-82.2189
GTF,Great Falls International Airport,47.482,-111.371
GUA,La Aurora International Airport,14.5833,-90.5275
GUM,Antonio B. Won Pat International Airport,13.4839,144.797
GVA,Geneva Airport,46.2381,6.10895
HAV,Jose Marti International Airport,22.9892,-82.4091
HDN,Yampa Valley Airport,40.4812,-107.218
HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915
HLN,Helena Regional Airport,46.6068,-111.983
HND,Haneda Airport,35.5533,139.781
HNL,Daniel K. Inouye International Airport,21.3206,-157.924
HRL,Valley International Airport,26.2285,-97.6544
HSV,Huntsville International Airport (Carl T. Jones Field),34.6372,-86.7751
HYS,Hays Regional Airport,38.8422,-99.2732
IAD,Washington Dulles International Airport,38.9445,-77.4558
IAH,George Bush Intercontinental Airport,29.9844,-95.3414
ICN,Incheon International Airport,37.4633,126.44
ICT,Wichita Dwight D. Eisenhower National Airport,37.6499,-97.4331
IDA,Idaho Falls Regional Airport,43.5136,-112.071
IND,Indianapolis International Airport,39.7173,-86.2944
JAC,Jackson Hole Airport,43.6073,-110.738
JAX,Jacksonville International Airport,30.4941,-81.6879
JFK,John F. Kennedy International Airport,40.6397,-73.7789
JLN,Joplin Regional Airport,37.1518,-94.4983
JMS,Jamestown Regional Airport,46.9297,-98.6782
JNB,O. R. Tambo International Airport,-26.1392,28.246
JST,John Murtha Johnstown-Cambria County Airport,40.3161,-78.8339
KIX,Kansai International Airport,34.4305,135.23
KOA,Kona International Airport at Keahole,19.7388,-156.046
KSA,Kosrae International Airport,5.35698,162.958
KWA,Bucholz Army Airfield,8.72012,167.732
LAR,Laramie Regional Airport,41.3121,-105.675
LAS,Harry Reid International Airport,36.0801,-115.152
LAX,Los Angeles International Airport,33.9425,-118.408
LBB,Lubbock Preston Smith International Airport,33.6636,-101.823
LBF,North Platte Regional Airport (Lee Bird Field),41.1262,-100.684
LBL,Liberal Mid-America Regional Airport,37.0442,-100.96
LEX,Blue Grass Airport,38.0365,-84.6059
LFT,Lafayette Regional Airport,30.2053,-91.9876
LGA,LaGuardia Airport,40.775,-73.875
LHR,Heathrow Airport,51.4775,-0.461389
LIH,Lihue Airport,21.976,-159.339
LIM,Jorge Chavez International Airport,-12.0219,-77.1143
LIR,Daniel Oduber Quiros International Airport,10.5933,-85.5444
LIS,Lisbon Portela Airport,38.7813,-9.13592
LIT,Clinton National Airport (Adams Field),34.7294,-92.2243
LNK,Lincoln Airport,40.851,-96.7592
LOS,Murtala Muhammed International Airport,6.57737,3.32116
LWS,Lewiston-Nez Perce County Airport,46.3745,-117.015
MAD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264
MAF,Midland International Air and Space Port,31.9425,-102.202
MAJ,Marshall Islands International Airport (Amata Kabua Int'l),7.06476,171.272
MBJ,Sangster International Airport,18.5037,-77.9134
MBS,MBS International Airport,43.5329,-84.0796
MCI,Kansas City International Airport,39.2976,-94.7139
MCO,Orlando International Airport,28.4294,-81.309
MCW,Mason City Municipal Airport,43.1578,-93.3313
MDT,Harrisburg International Airport,40.1935,-76.7634
MEI,Meridian Regional Airport (Key Field),32.3326,-88.7519
MEL,Melbourne Airport,-37.6733,144.843
MEM,Memphis International Airport,35.0424,-89.9767
MEX,Mexico City International Airport,19.4363,-99.0721
MFE,McAllen Miller International Airport,26.1758,-98.2386
MFR,Rogue Valley International-Medford Airport,42.3742,-122.873
MGA,Augusto C. Sandino International Airport,12.1415,-86.1682
MIA,Miami International Airport,25.7932,-80.2906
MID,Manuel Crescencio Rejon International Airport,20.937,-89.6577
MKE,General Mitchell International Airport,42.9472,-87.8966
MLI,Quad City International Airport,41.4485,-90.5075
MLM,General Francisco J. Mujica International Airport,19.8499,-101.025
MNL,Ninoy Aquino International Airport / Villamor Air Base,14.5086,121.02
MOB,Mobile Regional Airport,30.6912,-88.2428
MOT,Minot International Airport,48.2594,-101.28
MRY,Monterey Regional Airport,36.587,-121.843
MSN,Dane County Regional Airport (Truax Field),43.1399,-89.3375
MSO,Missoula International Airport,46.9163,-114.091
MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
MSY,Louis Armstrong New Orleans International Airport,29.9934,-90.258
MTJ,Montrose Regional Airport,38.5098,-107.894
MTY,General Mariano Escobedo International Airport,25.7785,-100.107
MUC,Munich Airport,48.3538,11.7861
MXP,Milan-Malpensa Airport,45.6306,8.72811
MYR,Myrtle Beach International Airport,33.6797,-78.9283
NAP,Naples International Airport,40.886,14.2908
NAS,Lynden Pindling International Airport,25.039,-77.4662
NGO,Chubu Centrair International Airport,34.8584,136.805
NRT,Narita International Airport,35.7653,140.386
OAX,Xoxocotlan International Air,16.9999,-96.7266
OGG,Kahului Airport,20.8986,-156.43
OKC,Will Rogers World Airport,35.3931,-97.6007
OMA,Eppley Airfield,41.3032,-95.8941
ONT,Ontario International Airport,34.056,-117.601
OPO,Francisco de Sa Carneiro Airport,41.2481,-8.68139
ORD,Chicago O'Hare International Airport,41.9786,-87.9047
ORF,Norfolk International Airport,36.8946,-76.2012
OTH,Southwest Oregon Regional Airport,43.4171,-124.246
PBC,Hermanos Serdan International Airport,19.1581,-98.3714
PBI,Palm Beach International Airport,26.6832,-80.0956
PDX,Portland International Airport,45.5887,-122.598
PHL,Philadelphia International Airport,39.8719,-75.2411
PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
PIA,General Wayne A. Downing Peoria International Airport,40.6642,-89.6933
PIB,Hattiesburg-Laurel Regional Airport,31.4671,-89.3371
PIT,Pittsburgh International Airport,40.4915,-80.2329
PLS,Providenciales International Airport,21.7736,-72.2659
PNI,Pohnpei International Airport,6.9851,158.209
PNS,Pensacola International Airport,30.4734,-87.1866
POP,Gregorio Luperon International Airport,19.7579,-70.57
POS,Piarco International Airport,10.5954,-61.3372
PPT,Fa'a'a International Airport,-17.5537,-149.607
PRC,Ernest A. Love Field,34.6545,-112.42
PSC,Tri-Cities Airport,46.2647,-119.119
PSP,Palm Springs International Airport,33.8297,-116.507
PTY,Tocumen International Airport,9.07136,-79.3835
PUJ,Punta Cana International Airport,18.5674,-68.3634
PVD,Theodore Francis Green State Airport,41.7326,-71.4204
PVG,Shanghai Pudong International Airport,31.1434,121.805
PVR,Licenciado Gustavo Diaz Ordaz International Airport,20.6801,-105.254
PWM,Portland International Jetport,43.6462,-70.3093
QRO,Queretaro Intercontinental Airport,20.6173,-100.186
RAP,Rapid City Regional Airport,44.0453,-103.057
RDD,Redding Municipal Airport,40.509,-122.293
RDM,Roberts Field,44.2541,-121.15
RDU,Raleigh-Durham International Airport,35.8776,-78.7875
RIC,Richmond International Airport,37.5052,-77.3197
RIW,Central Wyoming Regional Airport,43.0642,-108.46
RKS,Southwest Wyoming Regional Airport,41.5942,-109.065
RNO,Reno-Tahoe International Airport,39.4991,-119.768
ROA,Roanoke-Blacksburg Regional Airport (Woodrum Field),37.3255,-79.9754
ROC,Greater Rochester International Airport,43.1189,-77.6724
ROR,Roman Tmetuchl International Airport,7.36731,134.544
RSW,Southwest Florida International Airport,26.5362,-81.7552
RTB,Juan Manuel Galvez International Airport,16.3168,-86.523
SAL,Monsenor Oscar Arnulfo Romero International Airport,13.4409,-89.0557
SAN,San Diego International Airport,32.7336,-117.19
SAP,Ramon Villeda Morales International Airport,15.4526,-87.9236
SAT,San Antonio International Airport,29.5337,-98.4698
SAV,Savannah/Hilton Head International Airport,32.1276,-81.2021
SBA,Santa Barbara Municipal Airport,34.4262,-119.84
SBN,South Bend International Airport,41.7087,-86.3173
SBP,San Luis Obispo County Regional Airport (McChesney Field),35.2368,-120.642
SCE,University Park Airport,40.8493,-77.8487
SCL,Comodoro Arturo Merino Benitez International Airport,-33.393,-70.7858
SDF,Louisville International Airport (Standiford Field),38.1744,-85.736
SDQ,Las Americas International Airport,18.4297,-69.6689
SEA,Seattle-Tacoma International Airport,47.449,-122.309
SFO,San Francisco International Airport,37.619,-122.375
SGF,Springfield-Branson National Airport,37.2457,-93.3886
SGU,St. George Regional Airport,37.0364,-113.51
SHR,Sheridan County Airport,44.7692,-106.98
SIN,Singapore Changi Airport,1.35019,103.994
SJC,San Jose International Airport,37.3626,-121.929
SJD,Los Cabos International Airport,23.1518,-109.721
SJO,Juan Santamaria International Airport,9.99386,-84.2088
SJU,Luis Munoz Marin International Airport,18.4394,-66.0018
SLC,Salt Lake City International Airport,40.7884,-111.978
SLN,Salina Regional Airport,38.791,-97.6522
SLP,Ponciano Arriaga International Airport,22.2543,-100.931
SMF,Sacramento International Airport,38.6954,-121.591
SNA,John Wayne Airport (Orange County Airport),33.6757,-117.868
SNN,Shannon Airport,52.702,-8.92482
SPN,Saipan International Airport (Francisco C. Ada Int'l),15.119,145.729
SRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544
STI,Cibao International Airport,19.4061,-70.6047
STL,Lambert-St. Louis International Airport,38.7487,-90.37
STT,Cyril E. King Airport,18.3373,-64.9734
SUX,Sioux Gateway Airport (Colonel Bud Day Field),42.4026,-96.3844
SXM,Princess Juliana International Airport,18.041,-63.1089
SYD,Sydney Airport (Kingsford Smith Airport),-33.9461,151.177
SYR,Syracuse Hancock International Airport,43.1112,-76.1063
TAM,General Francisco Javier Mina International Airport,22.2964,-97.8659
TKK,Chuuk International Airport,7.46187,151.843
TLV,Ben Gurion Airport,32.0114,34.8867
TPA,Tampa International Airport,27.9755,-82.5332
TPE,Taiwan Taoyuan International Airport,25.0777,121.233
TUL,Tulsa International Airport,36.1984,-95.8881
TUS,Tucson International Airport,32.1161,-110.941
TVC,Cherry Capital Airport,44.7414,-85.5822
TYS,McGhee Tyson Airport,35.811,-83.994
UIO,Mariscal Sucre International Airport,-0.129167,-78.3575
VCE,Venice Marco Polo Airport,45.5053,12.3519
VCT,Victoria Regional Airport,28.8526,-96.9185
VEL,Vernal Regional Airport,40.4409,-109.51
VER,General Heriberto Jara International Airport,19.1459,-96.1873
VIE,Vienna International Airport,48.1103,16.5697
XNA,Northwest Arkansas Regional Airport,36.2819,-94.3068
XPL,Soto Cano Air Base,14.3824,-87.6212
XWA,Williston Basin International Airport,48.2597,-103.751
YAP,Yap International Airport,9.49891,138.083
YEG,Edmonton International Airport,53.3062,-113.5828
YUL,Montréal-Pierre Elliott Trudeau International Airport,45.4657,-73.7455
YVR,Vancouver International Airport,49.1939,-123.184
YYC,Calgary International Airport,51.1139,-114.02
YYZ,Toronto Pearson International Airport,43.6797,-79.6227
ZIH,Ixtapa-Zihuatanejo International Airport,17.6016,-101.461
ZRH,Zurich Airport,47.4647,8.54917
